T (us), IAW, IBW, ICW, VAY, VBY, VCY
67000.00, 1.5648196, -1.184144, -.3806755, -85.97467, 87.793037, -1.818367
67250.00, 1.5963423, -1.092347, -.5039948, -89.76844, 83.710266, 6.0581775
67500.00, 1.6180148, -.9938207, -.624194, -93.00916, 79.111465, 13.897687
67750.00, 1.6297172, -.8891733, -.7405439, -95.67681, 74.024956, 21.651859
68000.00, 1.6313896, -.7790506, -.852339, -97.7549, 68.48204, 29.272858
68250.00, 1.6230301, -.6641305, -.9588996, -99.23046, 62.516857, 36.713604
68500.00, 1.6046931, -.5451187, -1.059574, -100.0942, 56.166149, 43.928093
68750.00, 1.5764887, -.4227459, -1.153743, -100.3408, 49.469063, 50.871704
69000.00, 1.5385833, -.2977626, -1.240821, -99.96838, 42.466881, 57.501492
69250.00, 1.4911987, -.1709367, -1.320262, -98.97929, 35.202805, 63.776482
69500.00, 1.4346144, -.043048, -1.391566, -97.3796, 27.721655, 69.657951
69750.00, 1.3691674, .08511566, -1.454283, -95.17924, 20.069593, 75.109642
70000.00, 1.2952528, .21276307, -1.508016, -92.39187, 12.293839, 80.09803
70250.00, 1.2133223, .3391051, -1.552427, -89.03484, 4.4423666, 84.592468
70500.00, 1.1238825, .46335971, -1.587242, -85.12898, -3.436401, 88.565384
70750.00, 1.0274913, .58475751, -1.612249, -80.69852, -11.29389, 91.992401
71000.00, .92475319, .70254701, -1.6273, -75.77084, -19.08167, 94.852501
71250.00, .81631327, .81599987, -1.632313, -70.37634, -26.75176, 97.128098
71500.00, .70285165, .92441571, -1.627267, -64.54826, -34.2569, 98.805161
71750.00, .58507657, 1.0271267, -1.612203, -58.32241, -41.55088, 99.873283
72000.00, .46371877, 1.1235012, -1.58722, -51.73705, -48.58874, 100.3258
72250.00, .33952627, 1.2129478, -1.552474, -44.83265, -55.32712, 100.15977
72500.00, .21325971, 1.2949182, -1.508178, -37.65165, -61.72448, 99.376122
72750.00, .0856888, 1.3689096, -1.454598, -30.23822, -67.74136, 97.979576
73000.00, -.0424107, 1.4344683, -1.392058, -22.63805, -73.34064, 95.978683
73250.00, -.1702599, 1.4911909, -1.320931, -14.89802, -78.48775, 93.38578
73500.00, -.2970793, 1.5387275, -1.241648, -7.065931, -83.15096, 90.216881
73750.00, -.4220921, 1.5767837, -1.154691, .80981594, -87.30144, 86.491623
74000.00, -.5445285, 1.6051223, -1.060594, 8.6805315, -90.9136, 82.233078
74250.00, -.6636298, 1.6235658, -.9599361, 16.497568, -93.96518, 77.467613
74500.00, -.778654, 1.6319978, -.8533438, 24.212641, -96.43736, 72.224709
74750.00, -.8888823, 1.6303641, -.7414818, 31.778143, -98.3149, 66.536758
75000.00, -.9936249, 1.6186733, -.6250485, 39.147446, -99.58629, 60.438843
75250.00, -1.092227, 1.5969976, -.5047705, 46.275173, -100.2437, 53.968529
75500.00, -1.184076, 1.5654716, -.381396, 53.117489, -100.2831, 47.165638
75750.00, -1.268602, 1.5242918, -.2556895, 59.632324, -99.70434, 40.072014
76000.00, -1.345289, 1.4737146, -.1284259, 65.779633, -98.51091, 32.731277
76250.00, -1.413668, 1.4140543, -.386E-3, 71.521606, -96.71021, 25.188597
76500.00, -1.473328, 1.345681, .1276473, 76.822891, -94.3133, 17.490406
76750.00, -1.52391, 1.2690176, .25489277, 81.650803, -91.33495, 9.6841412
77000.00, -1.565111, 1.1845369, .38057417, 85.975525, -87.79347, 1.8179482
77250.00, -1.596682, 1.0927591, .50392342, 89.770302, -83.71069, -6.059616
77500.00, -1.618432, .99424821, .62418407, 93.011635, -79.11174, -13.8999
77750.00, -1.630225, .88960922, .74061543, 95.67942, -74.02497, -21.65446
78000.00, -1.631982, .77948487, .85249698, 97.757133, -68.48174, -29.27539
78250.00, -1.623685, .66455185, .95913321, 99.231888, -62.51625, -36.71564
78500.00, -1.605377, .54551739, 1.0598594, 100.0946, -56.16529, -43.92931
78750.00, -1.577162, .42311472, 1.1540468, 100.33998, -49.46805, -50.87193
79000.00, -1.539207, .29809913, 1.2411079, 99.966599, -42.46585, -57.50074
79250.00, -1.491744, .17124271, 1.3205017, 98.976845, -35.20189, -63.77496
79500.00, -1.435067, .04332967, 1.3917372, 97.376938, -27.72095, -69.65598
79750.00, -1.369528, -.0848491, 1.4543773, 95.176819, -20.06917, -75.10764
80000.00, -1.295539, -.2125013, 1.5080403, 92.390121, -12.29371, -80.09641
80250.00, -1.213564, -.3388384, 1.552402, 89.034042, -4.442491, -84.59155
80500.00, -1.124115, -.4630809, 1.5871962, 85.12925, 3.436116, -88.56537
80750.00, -1.027752, -.5844629, 1.6122149, 80.699753, 11.293559, -91.99331
81000.00, -.9250709, -.7022375, 1.6273084, 75.772766, 19.081417, -94.85419
81250.00, -.8167054, -.8156802, 1.6323856, 70.378578, 26.751692, -97.13026
81500.00, -.7033203, -.9240938, 1.6274142, 64.550346, 34.257092, -98.80744
81750.00, -.5856088, -1.026812, 1.6124209, 58.323956, 41.551342, -99.8753
82000.00, -.4642893, -1.123203, 1.5874922, 51.737755, 48.589451, -100.3272
82250.00, -.3401021, -1.212673, 1.5527754, 44.832375, 55.327999, -100.1604
82500.00, -.2138067, -1.294671, 1.508478, 37.650436, 61.725422, -99.37586
82750.00, -.086178, -1.368691, 1.4548686, 30.2363, 67.742256, -97.97855
83000.00, .04199808, -1.434273, 1.3922751, 22.635763, 73.341377, -95.97714
83250.00, .16992888, -1.491013, 1.3210839, 14.895773, 78.488281, -93.38405
83500.00, .29682067, -1.538558, 1.241737, 7.0641131, 83.151222, -90.21533
83750.00, .42188454, -1.576613, 1.1547288, -.8108998, 87.301468, -86.49057
